ref,payout_date,qty_produk,hpp,total_price,seller_discount,fee_admin,fee_service,fee_affiliate,fee_order_process,fee_program,fee_transaction,shipping_cost,omset,payout_status
251228JA0ESFHT,2026-01-03 00:00:00,1,50000,95000,-2850,-9399,-10874,-1451,-1250,-350,0,0,68826,sukses
251230PWR7RGA8,2026-01-03 00:00:00,1,145800,302500,-9075,-29929,-34624,0,-1250,-350,0,0,227272,sukses
251226C30M4GVV,2026-01-03 00:00:00,2,296400,741000,-126610,-62668,-72498,-8804,-1250,-350,0,0,468820,sukses
251230P4MVGKEK,2026-01-03 00:00:00,1,132350,300000,-90000,-20370,-23730,0,-1250,-350,0,0,164300,sukses
251230N4PW5BFV,2026-01-03 00:00:00,1,132000,275000,-8250,-27209,-31477,0,-1250,-350,0,0,206464,sukses
260101UAG007D9,2026-01-04 00:00:00,1,132000,346500,-69300,-28274,-32710,0,-1250,-350,0,0,214616,sukses
25122599NUVH2S,2026-01-04 00:00:00,1,75000,185900,-37180,-14426,-16805,0,-1250,-350,0,0,115889,sukses
2512247Y9CFM79,2026-01-04 00:00:00,1,180800,385000,0,-39270,-45430,0,-1250,-350,0,0,298700,sukses
251205JSX7C2FY,2026-01-04 00:00:00,1,213900,525000,0,-53550,-61950,0,-1250,-350,0,0,407900,sukses
251214C3YJ2XFY,2026-01-04 00:00:00,1,19850,40000,0,-4080,-4720,0,-1250,-350,0,0,29600,sukses
2512259RWMP9T2,2026-01-04 00:00:00,1,285900,635000,-19050,-62827,-72682,-8717,-1250,-350,0,0,470124,sukses
25121277F84APY,2026-01-04 00:00:00,4,421500,850000,-12000,-85476,-98884,-11846,-1250,-350,0,0,640194,sukses
251226C1QRP7AS,2026-01-04 00:00:00,1,88850,270000,-94500,-17901,-20710,0,-1250,-350,0,0,135289,sukses
251231SEJ8XG1S,2026-01-04 00:00:00,1,115850,325000,-81250,-23644,-28763,0,-1250,-350,0,0,189743,sukses
251228G1VM6F5H,2026-01-04 00:00:00,1,12000,95000,-57000,-3876,-4484,0,-1250,-350,0,0,28040,sukses
2512222MB7G99D,2026-01-04 00:00:00,1,190900,385000,0,-39270,-45430,0,-1250,-350,0,0,298700,sukses
251225APSHS0DX,2026-01-04 00:00:00,1,0,181500,-181500,0,0,0,0,-350,0,-6500,-350,retur
251227DQNADU0D,2026-01-05 00:00:00,2,466700,1020000,-30600,-100919,-116749,0,-1250,-350,0,0,770132,sukses
251227F25PT228,2026-01-05 00:00:00,1,232940,522500,-130625,-38012,-46241,-5089,-1250,-350,0,0,300933,sukses
251227EAMCSA16,2026-01-05 00:00:00,1,138350,325000,-97500,-22068,-26846,-10834,-1250,-350,0,0,166152,sukses
260101UA57S467,2026-01-05 00:00:00,1,145800,302500,-9075,-30663,-34624,0,-1250,-350,0,0,226538,sukses
251226D8YNE1VD,2026-01-05 00:00:00,1,145800,302500,-9075,-29929,-34624,0,-1250,-350,0,0,227272,sukses
260102VM1Q180Y,2026-01-05 00:00:00,1,151350,370000,-129500,-23930,-27177,0,-1250,-350,0,0,187793,sukses
251217KTN1791R,2026-01-05 00:00:00,1,0,325000,-325000,0,0,0,0,-350,0,-8000,-350,retur
251226C60WGYN0,2026-01-05 00:00:00,1,145800,302500,-9075,-29929,-34624,0,-1250,-350,0,0,227272,sukses
260102VN76TK44,2026-01-05 00:00:00,1,232940,522500,-130625,-39971,-46241,0,-1250,-350,0,0,304063,sukses
251231SE43Y7W5,2026-01-05 00:00:00,1,145800,302500,-9075,-29929,-34624,-4153,-1250,-350,0,0,223119,sukses
2601020WGTKBT4,2026-01-05 00:00:00,1,132000,346500,-69300,-28274,-32710,0,-1250,-350,0,0,214616,sukses
260101T6XG5JPA,2026-01-05 00:00:00,1,190900,385000,-11550,-39026,-44067,0,-1250,-350,0,0,288757,sukses
581939954407016427,2026-01-05 00:00:00,1,49850,121000,0,-9680,-4840,0,0,-4235,-1250,0,100995,sukses
581917042858886184,2026-01-05 00:00:00,1,272900,517000,-129250,-31020,-21326,0,0,-13571,-1250,0,320583,sukses
581903901684696921,2026-01-05 00:00:00,1,190900,385000,-77000,-24640,-16940,0,0,-10780,-1250,0,254390,sukses
581903815968393049,2026-01-05 00:00:00,1,87850,195000,-68250,-10140,-6971,0,0,-4436,-1250,0,103953,sukses
581883495047071239,2026-01-05 00:00:00,1,85000,196900,-39380,-12602,-7876,0,0,-5513,-1250,0,130279,sukses
581882121618884547,2026-01-05 00:00:00,1,190900,385000,-11550,-29876,-20540,0,0,-13071,-1250,0,308713,sukses
581913721791219418,2026-01-04 00:00:00,1,19850,40000,-1200,-3104,-2134,0,0,-1358,-1250,0,30954,sukses
581894801520756046,2026-01-04 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
581894141431743847,2026-01-04 00:00:00,1,204000,385000,-11550,-29876,-20540,0,0,-13071,-1250,0,308713,sukses
581871212839601477,2026-01-04 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
581897008060007615,2026-01-03 00:00:00,1,285900,635000,-19050,-49276,-33877,0,0,-21558,-1250,0,509989,sukses
581888047383872763,2026-01-03 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
581845261921191161,2026-01-03 00:00:00,2,223850,425000,-12750,-32980,-22674,0,0,-14429,-1250,0,340917,sukses
581840272558163666,2026-01-03 00:00:00,1,72000,127000,-3810,-9855,-6775,0,0,-4312,-1250,0,100998,sukses
SO-000002610,2026-01-05 00:00:00,1,75000,87500,0,0,0,0,0,0,0,0,87500,sukses
Pickers Bandung-DES-25,2026-01-06 00:00:00,6,1260400,2440000,-561000,0,0,0,0,0,0,0,1879000,sukses
Pickers Jakarta-DES-25,2026-01-06 00:00:00,1,145800,220000,-33000,0,0,0,0,0,0,0,187000,sukses
SO-000002614,2026-01-06 00:00:00,1,72000,115000,0,0,0,0,0,0,0,0,115000,sukses
SO-000002616,2026-01-06 00:00:00,5,802550,1281145,0,0,0,0,0,0,0,0,1281145,sukses
2512259A4MXC1C,2026-01-06 00:00:00,1,204000,385000,-11550,-38092,-44067,-5285,-1250,-350,0,0,284406,sukses
251231SW7KEV7R,2026-01-06 00:00:00,1,90000,270000,-108000,-15714,-18306,0,-1250,-350,0,0,126380,sukses
2601021RWEV4US,2026-01-06 00:00:00,1,132000,346500,-69300,-28274,-32710,-3782,-1250,-350,0,0,210834,sukses
251226B2Q4NVXY,2026-01-06 00:00:00,2,545800,1034000,-206800,-84374,-97610,0,-1250,-350,0,0,643616,sukses
251223546R4BGA,2026-01-06 00:00:00,1,132000,275000,0,-28050,-32450,-4029,-1250,-350,0,0,208871,sukses
2601021EV78URT,2026-01-06 00:00:00,1,87850,195000,-68250,-12929,-14957,-1794,-1250,-350,0,0,95470,sukses
251229MXSGJR4A,2026-01-06 00:00:00,1,85000,196900,-39380,-15279,-17799,0,-1250,-350,0,0,122842,sukses
251231RG0SEN4A,2026-01-06 00:00:00,1,143800,325000,-81250,-24863,-28763,0,-1250,-350,0,-17500,171024,sukses
251227EE4N9RFD,2026-01-06 00:00:00,2,165650,342500,-10275,-33887,-39202,-4867,-1250,-350,0,0,252669,sukses
251229MXNHNYKX,2026-01-06 00:00:00,1,54850,132000,-26400,-10243,-10877,-1406,-1250,-350,0,0,81474,sukses
251231QWSG4ECJ,2026-01-06 00:00:00,1,190000,500000,-175000,-31525,-38350,0,-1250,-350,0,0,253525,sukses
2601057R3HQK58,2026-01-06 00:00:00,2,124850,306900,0,-30839,-33470,0,-1250,-350,0,0,240991,sukses
581924051439159204,2026-01-06 00:00:00,2,552700,1515000,-530250,-78780,-46971,0,0,-34466,-1250,0,823283,sukses
581910109332473646,2026-01-06 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
581900822730868209,2026-01-06 00:00:00,5,471700,1092500,-86925,-80446,-55307,0,0,-35195,-1250,0,833377,sukses
581897528382817588,2026-01-06 00:00:00,1,72000,127000,-3810,-9855,-6775,0,0,-4312,-1250,0,100998,sukses
SO-000002643,2026-01-07 00:00:00,1,85000,94000,0,0,0,0,0,0,0,0,94000,sukses
251229KN17NEMB,2026-01-07 00:00:00,1,132000,275000,-8250,-27209,-31477,0,-1250,-350,0,0,206464,sukses
251229JV4BDEVN,2026-01-07 00:00:00,2,220750,455000,-84200,-37822,-43754,0,-1250,-350,0,0,287624,sukses
2601046HF2S4U2,2026-01-07 00:00:00,1,204000,385000,0,-40233,-45430,0,-1250,-350,0,0,297737,sukses
2601034534PSDD,2026-01-07 00:00:00,1,145800,302500,-9075,-30663,-34624,-4299,-1250,-350,0,0,222239,sukses
251229KARJJ5HB,2026-01-07 00:00:00,1,75000,185900,-37180,-14426,-16805,-1942,-1250,-350,0,0,113947,sukses
260101UETDTMWR,2026-01-07 00:00:00,1,132000,275000,-8250,-27875,-31477,-3692,-1250,-350,0,0,202106,sukses
26010582TNBHKX,2026-01-07 00:00:00,1,50000,95000,0,-9928,-11210,0,-1250,-350,0,0,72262,sukses
260101VAP8G1WU,2026-01-07 00:00:00,1,90000,270000,-108000,-16119,-18306,0,-1250,-350,0,0,125975,sukses
26010461B6ME5R,2026-01-07 00:00:00,1,190900,385000,0,-40233,-45430,-5641,-1250,-350,0,0,292096,sukses
2601033AQ2QGHD,2026-01-07 00:00:00,1,88850,270000,-94500,-18340,-20710,-5143,-1250,-350,0,0,129707,sukses
251228HXJ55NQK,2026-01-07 00:00:00,1,115850,325000,-81250,-23644,-28763,-3571,-1250,-350,0,0,186172,sukses
581930366464919511,2026-01-07 00:00:00,1,132000,275000,-8250,-21340,-14671,0,0,-9336,-1250,0,220153,sukses
581929289672328365,2026-01-07 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
581922320343270503,2026-01-07 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
581920398219576562,2026-01-07 00:00:00,1,132000,275000,-8250,-21340,-14671,0,0,-9336,-1250,0,220153,sukses
SO-000002666,2026-01-08 00:00:00,2,33850,0,0,0,0,0,0,0,0,-1732,-1732,sukses
251229MWBC9U16,2026-01-08 00:00:00,1,25350,50000,0,-5100,-5900,0,-1250,-350,0,0,37400,sukses
251228G52QGKYN,2026-01-08 00:00:00,1,132000,275000,-8250,-27209,-31477,0,-1250,-350,0,0,206464,sukses
260101VA7P5SGF,2026-01-08 00:00:00,1,145800,302500,-9075,-30663,-34624,0,-1250,-350,0,0,226538,sukses
260102161ES1X6,2026-01-08 00:00:00,1,132000,346500,-69300,-28274,-32710,0,-1250,-350,0,0,214616,sukses
251227FF9K5259,2026-01-08 00:00:00,1,132000,346500,-69300,-26888,-32710,0,-1250,-350,0,0,216002,sukses
260107C8PJA6PJ,2026-01-08 00:00:00,1,190000,500000,-250000,-25500,-29500,0,-1250,-350,0,0,193400,sukses
2601020Y10MCW7,2026-01-08 00:00:00,1,262900,495000,-14850,-50176,-56658,0,-1250,-350,0,0,371716,sukses
251231SF806PM6,2026-01-08 00:00:00,1,19850,40000,-1200,-3958,-4578,0,-1250,-350,0,0,28664,sukses
260101UFQ81BM2,2026-01-08 00:00:00,1,145800,302500,-9075,-30663,-34624,0,-1250,-350,0,0,226538,sukses
2601021UGHQ4T1,2026-01-08 00:00:00,1,180800,385000,-11550,-39026,-44067,-10651,-1250,-350,0,0,278106,sukses
OTOMN090126,2026-01-09 00:00:00,1,77000,50000,0,0,0,0,0,0,0,0,50000,sukses
OTYYG090126,2026-01-09 00:00:00,1,74850,50000,0,0,0,0,0,0,0,0,50000,sukses
OTKH080126,2026-01-09 00:00:00,1,72000,115000,0,0,0,0,0,0,0,0,115000,sukses
251230Q2PB2KF3,2026-01-09 00:00:00,2,296400,741000,-126610,-62668,-72498,0,-1250,-350,0,0,477624,sukses
260106B7F882GB,2026-01-09 00:00:00,1,290000,689000,-344500,-40307,-42374,0,-1250,-350,0,0,260219,sukses
260106C1KYKQMM,2026-01-09 00:00:00,1,262900,495000,0,-51728,-58410,-7253,-1250,-350,0,0,376009,sukses
26010591TW2JV6,2026-01-09 00:00:00,1,272900,517000,0,-54027,-61006,0,-1250,-350,0,0,400367,sukses
251229MQB34PK8,2026-01-09 00:00:00,2,282750,535000,-16050,-52933,-61236,0,-1250,-350,0,0,403181,sukses
2512259Y33RMXQ,2026-01-09 00:00:00,1,272900,517000,-15510,-51152,-59176,0,-1250,-350,0,0,389562,sukses
251230NDWJ4FMH,2026-01-09 00:00:00,1,145800,302500,-9075,-29929,-34624,-8599,-1250,-350,0,0,218673,sukses
251229M38Y8RJJ,2026-01-09 00:00:00,1,72000,127000,-3810,-12565,-14536,0,-1250,-350,0,0,94489,sukses
2512259AV7AU5U,2026-01-09 00:00:00,2,292750,557000,-16710,-55110,-63754,-7646,-1250,-350,0,0,412180,sukses
251229KQP9GAJM,2026-01-09 00:00:00,1,0,517000,-517000,0,0,0,0,-350,0,0,-350,retur
2601033900BKC4,2026-01-09 00:00:00,1,0,385000,-385000,0,0,0,0,-350,0,0,-350,retur
260107CUQPHQJA,2026-01-09 00:00:00,1,290000,689000,-344500,-40307,-42374,0,-1250,-350,0,0,260219,sukses
260102VKB29G70,2026-01-09 00:00:00,2,272900,1034000,-646250,-40520,-45754,0,-545,-350,0,0,300581,sukses
260106AEVWFRVV,2026-01-09 00:00:00,1,50000,95000,0,-9928,-11210,0,-1250,-350,0,0,72262,sukses
581939561877768109,2026-01-09 00:00:00,1,224400,614000,-122800,-39296,-27016,0,0,-17192,-1250,0,406446,sukses
581923784747354018,2026-01-09 00:00:00,1,200900,415000,-12450,-32204,-22140,0,0,-14089,-1250,0,332867,sukses
581855493691901022,2026-01-09 00:00:00,1,87850,195000,-68250,-10140,-6971,0,0,-4436,-1250,0,103953,sukses
26010336KN1YQ3,2026-01-10 00:00:00,1,138350,325000,-97500,-23205,-26846,-5794,-1250,-350,0,0,170055,sukses
26010348PCH5K5,2026-01-10 00:00:00,1,132000,275000,-8250,-27875,-31477,-3908,-1250,-350,0,0,201890,sukses
260107EDE2BGJV,2026-01-10 00:00:00,1,125000,400000,-75000,-33150,-38350,0,-1250,-350,0,0,251900,sukses
260106BDV3RQ16,2026-01-10 00:00:00,1,132000,275000,0,-28738,-32450,-7766,-1250,-350,0,0,204446,sukses
26010336SC35UW,2026-01-10 00:00:00,2,100000,190000,-5700,-19259,-21748,0,-1250,-350,0,0,141693,sukses
2601032C8WYA16,2026-01-10 00:00:00,1,72000,127000,-3810,-12873,-14536,0,-1250,-350,0,0,94181,sukses
260101VA1784FF,2026-01-11 00:00:00,1,200900,415000,-12450,-42066,-47501,0,-1250,-350,0,0,311383,sukses
260101TR9N683G,2026-01-11 00:00:00,2,221500,605000,-181500,-42138,-47856,0,-1250,-350,0,0,331906,sukses
260101TQGXMHHE,2026-01-11 00:00:00,1,72000,127000,-3810,-12873,-14536,0,-1250,-350,0,0,94181,sukses
251230PJY389KX,2026-01-11 00:00:00,1,19850,40000,-1200,-3958,-4578,0,-1250,-350,0,0,28664,sukses
260109H7CXAT85,2026-01-11 00:00:00,2,266200,611900,-305950,-30442,-34573,0,-1250,-350,0,0,239335,sukses
260106B0NW1215,2026-01-11 00:00:00,1,150000,307500,-153750,-15298,-17375,0,-1250,-350,0,0,119477,sukses
582006014173939113,2026-01-11 00:00:00,1,132000,346500,0,-27720,-19058,0,0,-12128,-1250,0,286344,sukses
582000600968431572,2026-01-11 00:00:00,1,200900,415000,0,-33200,-22825,0,0,-14525,-1250,0,343200,sukses
581997812241106763,2026-01-11 00:00:00,1,75000,250000,-125000,-10000,-6875,0,0,-4375,-1250,0,102500,sukses
581994844809299469,2026-01-11 00:00:00,1,138350,325000,-162500,-13000,-8938,0,0,-5688,-1250,0,133624,sukses
581982840172218143,2026-01-11 00:00:00,1,72000,127000,0,-10160,-6985,0,0,-4445,-1250,0,104160,sukses
582013884249703519,2026-01-10 00:00:00,1,54850,132000,-66000,-5280,-2640,0,0,-2310,-1250,0,54520,sukses
582008907076044754,2026-01-10 00:00:00,1,19850,40000,0,-3200,-2200,0,0,-1400,-1250,0,31950,sukses
581981529557992756,2026-01-10 00:00:00,1,132000,275000,0,-22000,-15125,0,0,-9625,-1250,0,227000,sukses
581977393552131075,2026-01-10 00:00:00,1,132000,346500,0,-27720,-19058,0,0,-12128,-1250,0,286344,sukses
581969845026850713,2026-01-10 00:00:00,1,132000,275000,0,-22000,-15125,0,0,-9625,-1250,0,227000,sukses
OT-1-100126,2026-01-10 00:00:00,3,335900,545000,0,0,0,0,0,0,0,0,545000,sukses
OT-2-120126,2026-01-12 00:00:00,2,244250,580000,0,0,0,0,0,0,0,-1256,578744,sukses
260101VDFPF933,2026-01-12 00:00:00,1,272900,517000,-129250,-40520,-45755,0,-1250,-350,0,0,299875,sukses
260109H2W9NE5F,2026-01-12 00:00:00,1,145800,302500,0,-31611,-35696,-4432,-1250,-350,0,0,229161,sukses
260101UJRW63EU,2026-01-12 00:00:00,1,285900,635000,-19050,-64367,-72682,-8717,-1250,-350,0,0,468584,sukses
260108GJH4CXJX,2026-01-12 00:00:00,1,19850,40000,0,-4180,-4720,0,-1250,-350,0,0,29500,sukses
2601021DE3X65B,2026-01-12 00:00:00,1,115850,325000,-81250,-24863,-28763,0,-1250,-350,0,0,188524,sukses
260112T2GQJ79R,2026-01-12 00:00:00,1,395000,830000,-498000,-33034,-37516,0,-1250,-350,0,0,259850,sukses
260106BRB06TSR,2026-01-12 00:00:00,1,138350,325000,-162500,-16575,-19176,-6716,-1250,-350,0,0,118433,sukses
260108EXUVAMN4,2026-01-12 00:00:00,1,125000,400000,-75000,-33150,-38350,0,-1250,-350,0,0,251900,sukses
2601057BKBRWDF,2026-01-12 00:00:00,1,200900,415000,0,-43368,-48970,0,-1250,-350,0,0,321062,sukses
260110MYCXACUC,2026-01-12 00:00:00,1,132350,300000,-150000,-14925,-16950,0,-1250,-350,0,0,116525,sukses
260108G3W3035W,2026-01-12 00:00:00,1,88850,270000,-135000,-14108,-15930,0,-1250,-350,0,0,103362,sukses
260108G9V16NTD,2026-01-12 00:00:00,1,132350,300000,-150000,-14925,-16950,-1998,-1250,-350,0,0,114527,sukses
260108G9WNKSRC,2026-01-12 00:00:00,1,88850,270000,-135000,-14108,-15930,0,-1250,-350,0,0,103362,sukses
260106AJ9S836Y,2026-01-12 00:00:00,1,190900,385000,0,-40233,-45430,0,-1250,-350,0,0,297737,sukses
251224773N4WTR,2026-01-12 00:00:00,1,132000,346500,0,-33611,-40888,-4904,-1250,-350,0,0,265497,sukses
2601034FEFNSCQ,2026-01-12 00:00:00,1,272900,517000,-15510,-52406,-59176,0,-1250,-350,0,0,388308,sukses
582005794185054125,2026-01-12 00:00:00,1,84850,196900,-98450,-7876,-4922,0,0,-3446,-1250,0,80956,sukses
582000860307490042,2026-01-12 00:00:00,1,87850,195000,-97500,-7800,-5362,0,0,-3412,-1250,0,79676,sukses
582000810516383590,2026-01-12 00:00:00,1,138350,325000,-162500,-13000,-8938,0,0,-5688,-1250,0,133624,sukses
582000471279830405,2026-01-12 00:00:00,1,145800,302500,0,-24200,-16638,0,0,-10588,-1250,0,249824,sukses
581952709731190394,2026-01-12 00:00:00,1,145800,302500,0,-24200,-16638,0,0,-10588,-1250,0,249824,sukses
260106BRHC99E5,2026-01-13 00:00:00,1,138350,325000,-162500,-16575,-19176,-7194,-1250,-350,0,0,117955,sukses
260109KD3QRM0K,2026-01-13 00:00:00,1,90000,270000,-135000,-13433,-15255,0,-1250,-350,0,0,104712,sukses
260109KG6M2PYQ,2026-01-13 00:00:00,1,160000,329500,-164750,-16393,-18618,0,-1250,-350,0,0,128139,sukses
260101V8P8117G,2026-01-13 00:00:00,1,179000,370000,-74000,-30932,-34928,0,-1250,-350,0,0,228540,sukses
260110MUAQQ5Y8,2026-01-13 00:00:00,1,25350,50000,0,-5225,-5900,-749,-1250,-350,0,0,36526,sukses
260109JR8D2QSB,2026-01-13 00:00:00,1,262900,495000,0,-51728,-58410,0,-1250,-350,0,0,383262,sukses
2601020N66Y8HH,2026-01-13 00:00:00,1,132000,346500,-69300,-28274,-32710,0,-1250,-350,0,0,214616,sukses
582017897065776129,2026-01-13 00:00:00,1,132350,300000,-150000,-12000,-7500,0,0,-5250,-1250,0,124000,sukses
582002022667421689,2026-01-13 00:00:00,1,290000,689000,-344500,-27560,-18948,0,0,-12058,-1250,0,284684,sukses
581951344028714825,2026-01-13 00:00:00,1,190900,385000,0,-30800,-21175,0,0,-13475,-1250,0,318300,sukses
OT-3-140126,2026-01-14 00:00:00,13,2284100,2452500,0,0,0,0,0,0,0,0,2452500,sukses
2601033PJUD2AP,2026-01-14 00:00:00,1,0,517000,-517000,0,0,0,0,-350,0,-13500,-350,retur
26010348TRRANN,2026-01-14 00:00:00,1,145800,302500,-9075,-30663,-34624,0,-1250,-350,0,0,226538,sukses
260108GBUGFN15,2026-01-14 00:00:00,1,262900,495000,0,-51728,-58410,0,-1250,-350,0,0,383262,sukses
260111RCETJPR8,2026-01-14 00:00:00,1,75000,185900,-55770,-12948,-14705,0,-1250,-350,0,0,100877,sukses
260112T5E3DD94,2026-01-14 00:00:00,1,132000,346500,0,-35343,-40888,0,-1250,-350,0,0,268669,sukses
260101VAN66GM5,2026-01-14 00:00:00,1,262900,495000,-14850,-50176,-56658,-13591,-1250,-350,0,0,358125,sukses
2601045E7BRC1D,2026-01-14 00:00:00,1,412000,689000,0,-72001,-81302,0,-1250,-350,0,0,534097,sukses
26010343FFY8GY,2026-01-14 00:00:00,1,25350,50000,0,-5225,-5900,-791,-1250,-350,0,0,36484,sukses
260109KK3ER8J0,2026-01-14 00:00:00,1,87850,195000,-97500,-9945,-11506,-2681,-1250,-350,0,0,71768,sukses
582065278643832503,2026-01-14 00:00:00,1,88850,270000,-135000,-10800,-8100,-6250,0,-4725,-1250,0,103875,sukses
582050454795158932,2026-01-14 00:00:00,1,132000,275000,0,-22000,-15125,0,0,-9625,-1250,0,227000,sukses
582026289862968541,2026-01-14 00:00:00,4,210850,432500,0,-34600,-23788,0,0,-15138,-1250,0,357724,sukses
582017740338070529,2026-01-14 00:00:00,1,132350,300000,-150000,-12000,-7500,0,0,-5250,-1250,0,124000,sukses
581939043330393116,2026-01-14 00:00:00,1,132000,275000,-8250,-21340,-14671,0,0,-9336,-1250,0,220153,sukses
581920068834264988,2026-01-14 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
order-manual-1501,2026-01-15 00:00:00,1,115850,295000,0,0,0,0,0,0,0,0,295000,sukses
260111RB8H3VWR,2026-01-15 00:00:00,1,132000,275000,0,-28738,-32450,-4029,-1250,-350,0,0,208183,sukses
260113U6P97D4U,2026-01-15 00:00:00,1,72000,127000,0,-13272,-14986,0,-1250,-350,0,0,97142,sukses
260110N6E669DP,2026-01-15 00:00:00,1,110750,302500,-151250,-15049,-17092,0,-1250,-350,0,0,117509,sukses
260101VF87MG7W,2026-01-15 00:00:00,1,180800,385000,-11550,-39026,-44067,-5285,-1250,-350,0,0,283472,sukses
2601140JEFCSYK,2026-01-15 00:00:00,1,149850,307500,-153750,-15298,-17375,-2176,-1250,-350,0,0,117301,sukses
2601069SFA8QM1,2026-01-15 00:00:00,1,132000,346500,0,-35343,-40888,0,-1250,-350,0,0,268669,sukses
2601033BRRD0RD,2026-01-15 00:00:00,1,115850,325000,-81250,-24863,-28763,0,-1250,-350,0,0,188524,sukses
260112TCW8MJM4,2026-01-15 00:00:00,1,132000,275000,0,-28738,-32450,0,-1250,-350,0,0,212212,sukses
260107DP7MF8DW,2026-01-15 00:00:00,3,329250,850900,-59070,-82057,-92747,0,-1250,-350,0,0,615426,sukses
260113VF5A6JHN,2026-01-15 00:00:00,1,85850,250000,-125000,-13063,-14750,0,-1250,-350,0,0,95587,sukses
2601032QHJBP2Q,2026-01-15 00:00:00,1,115850,325000,-81250,-24863,-28763,-2997,-1250,-350,0,0,185527,sukses
2601033XMEX0G0,2026-01-15 00:00:00,1,145800,302500,-9075,-30663,-34624,-8282,-1250,-350,0,0,218256,sukses
260109JUR0KGHJ,2026-01-15 00:00:00,1,200900,415000,0,-43368,-48970,0,-1250,-350,0,0,321062,sukses
260111PU0MWP6Q,2026-01-16 00:00:00,2,151850,315000,0,-32918,-37170,0,-1250,-350,0,0,243312,sukses
2601141VT0AX2T,2026-01-16 00:00:00,1,272900,517000,0,-54027,-61006,0,-1250,-350,0,0,400367,sukses
